"area","total","male","female"
"Osaka-shi","2,752,412","1,326,875","1,425,537"
"Osaka-shi Miyakojima-ku","107,904","51,763","56,141"
"Osaka-shi Fukushima-ku","79,328","37,633","41,695"
"Osaka-shi Konohana-ku","65,251","31,610","33,641"
"Osaka-shi Nishi-ku","105,862","49,586","56,276"
"Osaka-shi Minato-ku","80,948","39,498","41,450"
"Osaka-shi Taisho-ku","62,083","30,164","31,919"
"Osaka-shi Tennoji-ku","82,148","37,988","44,160"
"Osaka-shi Naniwa-ku","75,504","38,393","37,111"
"Osaka-shi Nishiyodogawa-ku","95,864","47,067","48,797"
"Osaka-shi Higashiyodogawa-ku","177,120","86,660","90,460"
"Osaka-shi Higashinari-ku","84,906","40,341","44,565"
"Osaka-shi Ikuno-ku","127,309","60,309","67,000"
"Osaka-shi Asahi-ku","89,670","42,676","46,994"
"Osaka-shi Joto-ku","169,043","80,220","88,823"
"Osaka-shi Abeno-ku","110,995","51,160","59,835"
"Osaka-shi Sumiyoshi-ku","153,056","71,193","81,863"
"Osaka-shi Higashisumiyoshi-ku","127,849","60,161","67,688"
"Osaka-shi Nishinari-ku","106,111","61,300","44,811"
"Osaka-shi Yodogawa-ku","183,444","91,327","92,117"
"Osaka-shi Tsurumi-ku","112,691","53,166","59,525"
"Osaka-shi Suminoe-ku","120,072","57,611","62,461"
"Osaka-shi Hirano-ku","192,152","90,568","101,584"
"Osaka-shi Kita-ku","139,376","67,805","71,571"
"Osaka-shi Chuo-ku","103,726","48,676","55,050"
"Ibaraki-shi","287,730","138,658","149,072"
"Osakasayama-shi","58,435","27,409","31,026"
"Hyogo-ken","5,465,002","2,599,756","2,865,246"
"Kobe-shi Hyogo-ku","109,144","52,901","56,243"
"Nara-ken","1,324,473","623,926","700,547"
"Nara-shi","354,630","164,846","189,784"
"(Municipalities as of 2000) Nara-shi","348,250","161,776","186,474"
"Wakayama-ken","922,584","435,051","487,533"
"Wakayama-shi","356,729","167,947","188,782"
"Tottori-ken","553,407","264,432","288,975"
"Tottori-shi","188,465","91,356","97,109"
"(Municipalities as of 2000) Tottori-shi","149,312","72,679","76,633"
"Shimane-ken","671,126","324,291","346,835"
"(Municipalities as of 2000) Shimane-cho","3,079","1,476","1,603"
"Okayama-ken","1,888,432","908,045","980,387"
"Okayama-shi","724,691","348,630","376,061"
"(Municipalities as of 2000) Okayama-shi","679,952","327,161","352,791"
"Okayama-shi Kita-ku","314,523","153,478","161,045"
"Okayama-shi Naka-ku","149,232","70,139","79,093"
"Okayama-shi Higashi-ku","93,108","44,243","48,865"
"Okayama-shi Minami-ku","167,828","80,770","87,058"
"Hiroshima-ken","2,799,702","1,357,156","1,442,546"
"Hiroshima-shi","1,200,754","579,415","621,339"
"(Municipalities as of 2000) Hiroshima-shi","1,195,501","576,931","618,570"
"Hiroshima-shi Naka-ku","142,699","67,660","75,039"
"Hiroshima-shi Higashi-ku","119,353","56,872","62,481"
"Hiroshima-shi Minami-ku","145,805","71,544","74,261"
"Hiroshima-shi Nishi-ku","190,232","91,127","99,105"
"Hiroshima-shi Asaminami-ku","247,020","120,308","126,712"
"Hiroshima-shi Asakita-ku","138,979","65,972","73,007"
"Hiroshima-shi Aki-ku","77,103","38,283","38,820"
"Hiroshima-shi Saeki-ku","139,563","67,649","71,914"
"(Municipalities as of 2000) Hiroshima-shi Saeki-ku","134,310","65,165","69,145"
"Akitakata-shi","26,448","12,614","13,834"
"Yamaguchi-ken","1,342,059","636,736","705,323"
"Yamaguchi-shi","193,966","92,352","101,614"
"(Municipalities as of 2000) Yamaguchi-shi","142,214","67,497","74,717"
"(Municipalities as of 2000) Fukushima-cho","2,379","1,146","1,233"
"(Municipalities as of 2000) Narao-cho","1,749","841","908"
"(Municipalities as of 2000) Mie-machi","16,229","7,545","8,684"
"(Municipalities as of 2000) Ishikawa-shi","23,869","11,960","11,909"
