"Statistics name :","2020 Population Census Reference Table : Result with Imputation Result with Imputation on 2020 Population Census"
"Table Number :","2-5"
"Title :","[Result with Imputation by Labour Force Status, Industry, Occupation and Employment status] Population (Aged 15 and over) by Sex and Labour force status and employment status - Metropolitan Areas"
"Implementation date :","2020","Oct."
"Cities, Towns and Villages :","-"

"***","Data not available"
"-","Data not available"

"","","","","","","","","","/Tabulated variable Code","2020_01","2020_01","2020_01","2020_01","2020_01","2020_01","2020_01","2020_01","2020_01","2020_01","2020_01","2020_01","2020_01","2020_01","2020_01","2020_01","2020_01"
"","","","","","","","","","/Tabulated variable Auxiliary Code","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"","","","","","","","","","/Tabulated variable","Population[people]","Population[people]","Population[people]","Population[people]","Population[people]","Population[people]","Population[people]","Population[people]","Population[people]","Population[people]","Population[people]","Population[people]","Population[people]","Population[people]","Population[people]","Population[people]","Population[people]"
"","","","","","","","","","/Labour force status and employment status Code","0","1","11","111","112","113","114","12","2","21","22","23","R1","R11","R12","R13","R14"
"","","","","","","","","","/Labour force status and employment status Auxiliary Code","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Time Code","Time Auxiliary Code","Time","Metropolitan Areas Code","Metropolitan Areas Auxiliary Code","Metropolitan Areas","Sex Code","Sex Auxiliary Code","Sex","/Labour force status and employment status","Total","Population in labour force","Employed persons","(Employed persons) Mostly worked","(Employed persons) Worked besides doing housework","(Employed persons) Worked besides attending school","(Employed persons) Absent from work","Unemployed","Population not in labour force","Did housework","Attending school","Others","(Special count) Employees (including Board member of company, etc.)","(Special count) Employees (including Board member of company, etc.), Mostly worked","(Special count) Employees (including Board member of company, etc.), Worked besides doing housework","(Special count) Employees (including Board member of company, etc.), Worked besides attending school","(Special count) Employees (including Board member of company, etc.), Absent from work"
"2020000000","","2020","09209","","Moka-shi","2","","Female","","33,379","18,767","18,063","13,511","3,945","166","441","704","14,612","7,097","1,706","5,809","15,603","12,113","2,905","163","422"
"2020000000","","2020","09210","","Ohtawara-shi","0","","Total","","62,068","40,325","39,118","33,128","4,218","714","1,058","1,207","21,743","6,617","4,241","10,885","32,129","27,873","2,720","712","824"
"2020000000","","2020","09210","","Ohtawara-shi","1","","Male","","30,424","22,295","21,548","20,237","491","264","556","747","8,129","874","1,972","5,283","17,384","16,519","239","263","363"
"2020000000","","2020","09210","","Ohtawara-shi","2","","Female","","31,644","18,030","17,570","12,891","3,727","450","502","460","13,614","5,743","2,269","5,602","14,745","11,354","2,481","449","461"
"2020000000","","2020","09211","","Yaita-shi","0","","Total","","27,691","16,374","15,610","13,550","1,647","126","287","764","11,317","3,342","1,559","6,416","13,488","11,954","1,182","125","227"
"2020000000","","2020","09211","","Yaita-shi","1","","Male","","13,544","9,110","8,568","8,198","167","53","150","542","4,434","430","840","3,164","7,306","7,058","92","52","104"
"2020000000","","2020","09211","","Yaita-shi","2","","Female","","14,147","7,264","7,042","5,352","1,480","73","137","222","6,883","2,912","719","3,252","6,182","4,896","1,090","73","123"
"2020000000","","2020","09213","","Nasushiobara-shi","0","","Total","","98,640","65,104","62,779","53,901","6,923","406","1,549","2,325","33,536","11,080","5,016","17,440","54,370","47,594","5,165","399","1,212"
"2020000000","","2020","09213","","Nasushiobara-shi","1","","Male","","48,601","36,037","34,619","32,872","821","191","735","1,418","12,564","1,359","2,533","8,672","29,597","28,444","505","186","462"
"2020000000","","2020","09213","","Nasushiobara-shi","2","","Female","","50,039","29,067","28,160","21,029","6,102","215","814","907","20,972","9,721","2,483","8,768","24,773","19,150","4,660","213","750"
"2020000000","","2020","09214","","Sakura-shi","0","","Total","","38,304","23,455","22,114","19,123","2,397","175","419","1,341","14,849","4,391","2,037","8,421","19,230","16,911","1,792","172","355"
"2020000000","","2020","09214","","Sakura-shi","1","","Male","","19,887","13,613","12,782","12,288","221","83","190","831","6,274","470","1,027","4,777","11,021","10,693","113","81","134"
"2020000000","","2020","09214","","Sakura-shi","2","","Female","","18,417","9,842","9,332","6,835","2,176","92","229","510","8,575","3,921","1,010","3,644","8,209","6,218","1,679","91","221"
"2020000000","","2020","09215","","Nasukarasuyama-shi","0","","Total","","22,506","13,175","12,352","10,763","1,341","52","196","823","9,331","2,752","1,000","5,579","10,120","9,060","862","51","147"
"2020000000","","2020","09215","","Nasukarasuyama-shi","1","","Male","","11,147","7,537","6,968","6,679","153","24","112","569","3,610","396","502","2,712","5,577","5,412","72","23","70"
"2020000000","","2020","09215","","Nasukarasuyama-shi","2","","Female","","11,359","5,638","5,384","4,084","1,188","28","84","254","5,721","2,356","498","2,867","4,543","3,648","790","28","77"
"2020000000","","2020","09216","","Shimotsuke-shi","0","","Total","","49,741","31,103","29,812","25,290","3,563","400","559","1,291","18,638","6,330","3,761","8,547","26,285","22,621","2,797","394","473"
"2020000000","","2020","09216","","Shimotsuke-shi","1","","Male","","24,254","17,320","16,482","15,726","339","169","248","838","6,934","684","1,936","4,314","14,368","13,799","219","167","183"
"2020000000","","2020","09216","","Shimotsuke-shi","2","","Female","","25,487","13,783","13,330","9,564","3,224","231","311","453","11,704","5,646","1,825","4,233","11,917","8,822","2,578","227","290"
