"Statistics name :","2020 Population Census Basic Complete Tabulation on Population and Households"
"Table Number :","1-1-1"
"Title :","[Population, Households, Sex, Age and Marital status] Population by Sex - Japan, Prefectures, Municipalities (including Municipalities as of 2000)"
"Implementation date :","2020","Oct."
"Cities, Towns and Villages :","-"

"***","Data not available"
"-","Data not available"

"","","","","","","/Tabulated variable Code","2020_01","2020_01","2020_01"
"","","","","","","/Tabulated variable Auxiliary Code","-","-","-"
"","","","","","","/Tabulated variable","Population[people]","Population[people]","Population[people]"
"","","","","","","/Sex Code","0","1","2"
"","","","","","","/Sex Auxiliary Code","-","-","-"
"Time Code","Time Auxiliary Code","Time","All Municipalities (including those as of 2000) Code","All Municipalities (including those as of 2000) Auxiliary Code","All Municipalities (including those as of 2000)","/Sex","Total","Male","Female"
"2020000000","","2020","08449","","(Municipalities as of 2000) Azuma-machi","","10,362","5,057","5,305"
"2020000000","","2020","08230","","Kasumigaura-shi","","40,087","20,341","19,746"
"2020000000","","2020","08461","","(Municipalities as of 2000) Kasumigaura-machi","","14,564","7,357","7,207"
"2020000000","","2020","08464","","(Municipalities as of 2000) Chiyoda-machi","","25,523","12,984","12,539"
"2020000000","","2020","08231","","Sakuragawa-shi","","39,122","19,359","19,763"
"2020000000","","2020","08324","","(Municipalities as of 2000) Iwase-machi","","18,077","8,858","9,219"
"2020000000","","2020","08503","","(Municipalities as of 2000) Makabe-machi","","15,159","7,563","7,596"
"2020000000","","2020","08504","","(Municipalities as of 2000) Yamato-mura","","5,886","2,938","2,948"
"2020000000","","2020","08232","","Kamisu-shi","","95,454","49,407","46,047"
"2020000000","","2020","08406","","(Municipalities as of 2000) Kamisu-machi","","59,757","31,630","28,127"
"2020000000","","2020","08407","","(Municipalities as of 2000) Hasaki-machi","","35,697","17,777","17,920"
"2020000000","","2020","08233","","Namegata-shi","","32,185","15,971","16,214"
"2020000000","","2020","08421","","(Municipalities as of 2000) Aso-machi","","12,520","6,191","6,329"
"2020000000","","2020","08424","","(Municipalities as of 2000) Kitaura-machi","","8,249","4,136","4,113"
"2020000000","","2020","08425","","(Municipalities as of 2000) Tamatsukuri-machi","","11,416","5,644","5,772"
"2020000000","","2020","08234","","Hokota-shi","","45,953","23,376","22,577"
"2020000000","","2020","08401","","(Municipalities as of 2000) Asahi-mura","","10,784","5,698","5,086"
"2020000000","","2020","08402","","(Municipalities as of 2000) Hokota-machi","","24,634","12,280","12,354"
"2020000000","","2020","08403","","(Municipalities as of 2000) Taiyo-mura","","10,535","5,398","5,137"
"2020000000","","2020","08235","","Tsukubamirai-shi","","49,872","24,895","24,977"
"2020000000","","2020","08482","","(Municipalities as of 2000) Ina-machi","","26,374","13,082","13,292"
"2020000000","","2020","08483","","(Municipalities as of 2000) Yawara-mura","","23,498","11,813","11,685"
"2020000000","","2020","08236","","Omitama-shi","","48,870","24,591","24,279"
"2020000000","","2020","08303","","(Municipalities as of 2000) Ogawa-machi","","16,285","8,451","7,834"
"2020000000","","2020","08304","","(Municipalities as of 2000) Minori-machi","","24,642","12,189","12,453"
"2020000000","","2020","08462","","(Municipalities as of 2000) Tamari-mura","","7,943","3,951","3,992"
"2020000000","","2020","08302","","Ibaraki-machi","","31,401","15,563","15,838"
"2020000000","","2020","08309","","Oarai-machi","","15,715","7,789","7,926"
"2020000000","","2020","08310","","Shirosato-machi","","18,097","8,913","9,184"
"2020000000","","2020","08306","","(Municipalities as of 2000) Johoku-machi","","11,289","5,570","5,719"
"2020000000","","2020","08307","","(Municipalities as of 2000) Katsura-mura","","5,212","2,543","2,669"
"2020000000","","2020","08323","","(Municipalities as of 2000) Nanakai-mura","","1,596","800","796"
"2020000000","","2020","08341","","Tokai-mura","","37,891","19,240","18,651"
"2020000000","","2020","08364","","Daigo-machi","","15,736","7,692","8,044"
"2020000000","","2020","08442","","Miho-mura","","14,602","7,479","7,123"
"2020000000","","2020","08443","","Ami-machi","","48,553","24,237","24,316"
"2020000000","","2020","08447","","Kawachi-machi","","8,231","4,051","4,180"
"2020000000","","2020","08521","","Yachiyo-machi","","21,026","10,991","10,035"
"2020000000","","2020","08542","","Goka-machi","","8,093","4,066","4,027"
"2020000000","","2020","08546","","Sakai-machi","","24,201","12,274","11,927"
"2020000000","","2020","08564","","Tone-machi","","15,340","7,482","7,858"
"2020000000","","2020","09000","","Tochigi-ken","","1,933,146","964,930","968,216"
"2020000000","","2020","09201","","Utsunomiya-shi","","518,757","259,616","259,141"
"2020000000","","2020","0920B","","(Municipalities as of 2000) Utsunomiya-shi","","474,650","237,635","237,015"
"2020000000","","2020","09303","","(Municipalities as of 2000) Kamikawachi-machi","","9,527","4,756","4,771"
"2020000000","","2020","09304","","(Municipalities as of 2000) Kawachi-machi","","34,580","17,225","17,355"
"2020000000","","2020","09202","","Ashikaga-shi","","144,746","71,405","73,341"
"2020000000","","2020","09203","","Tochigi-shi","","155,549","77,408","78,141"
"2020000000","","2020","0920C","","(Municipalities as of 2000) Tochigi-shi","","77,064","37,810","39,254"
"2020000000","","2020","09321","","(Municipalities as of 2000) Nishikata-machi","","5,842","2,908","2,934"
"2020000000","","2020","09365","","(Municipalities as of 2000) Ohira-machi","","29,048","14,804","14,244"
"2020000000","","2020","09366","","(Municipalities as of 2000) Fujioka-machi","","14,639","7,295","7,344"
"2020000000","","2020","09367","","(Municipalities as of 2000) Iwafune-machi","","16,519","8,388","8,131"
"2020000000","","2020","09368","","(Municipalities as of 2000) Tsuga-machi","","12,437","6,203","6,234"
"2020000000","","2020","09204","","Sano-shi","","116,228","57,494","58,734"
"2020000000","","2020","0920D","","(Municipalities as of 2000) Sano-shi","","81,971","40,684","41,287"
"2020000000","","2020","09421","","(Municipalities as of 2000) Tanuma-machi","","25,960","12,771","13,189"
"2020000000","","2020","09422","","(Municipalities as of 2000) Kuzuu-machi","","8,297","4,039","4,258"
"2020000000","","2020","09205","","Kanuma-shi","","94,033","46,609","47,424"
"2020000000","","2020","0920E","","(Municipalities as of 2000) Kanuma-shi","","86,414","42,757","43,657"
"2020000000","","2020","09322","","(Municipalities as of 2000) Awano-machi","","7,619","3,852","3,767"
"2020000000","","2020","09206","","Nikko-shi","","77,661","37,823","39,838"
"2020000000","","2020","0920F","","(Municipalities as of 2000) Nikko-shi","","11,483","5,457","6,026"
"2020000000","","2020","09207","","(Municipalities as of 2000) Imaichi-shi","","55,579","27,243","28,336"
"2020000000","","2020","09323","","(Municipalities as of 2000) Ashio-machi","","1,739","844","895"
"2020000000","","2020","09382","","(Municipalities as of 2000) Kuriyama-mura","","1,041","530","511"
"2020000000","","2020","09383","","(Municipalities as of 2000) Fujihara-machi","","7,819","3,749","4,070"
"2020000000","","2020","09208","","Oyama-shi","","166,666","84,450","82,216"
"2020000000","","2020","09209","","Moka-shi","","78,190","39,482","38,708"
"2020000000","","2020","0920G","","(Municipalities as of 2000) Moka-shi","","63,828","32,271","31,557"
"2020000000","","2020","09341","","(Municipalities as of 2000) Ninomiya-machi","","14,362","7,211","7,151"
"2020000000","","2020","09210","","Ohtawara-shi","","72,087","35,407","36,680"
"2020000000","","2020","0921B","","(Municipalities as of 2000) Ohtawara-shi","","57,332","28,020","29,312"
"2020000000","","2020","09405","","(Municipalities as of 2000) Yuzukami-mura","","3,960","1,983","1,977"
"2020000000","","2020","09406","","(Municipalities as of 2000) Kurobane-machi","","10,795","5,404","5,391"
"2020000000","","2020","09211","","Yaita-shi","","31,165","15,415","15,750"
"2020000000","","2020","09213","","Nasushiobara-shi","","115,210","57,307","57,903"
"2020000000","","2020","09212","","(Municipalities as of 2000) Kuroiso-shi","","59,880","29,530","30,350"
"2020000000","","2020","09409","","(Municipalities as of 2000) Nishinasuno-machi","","48,522","24,407","24,115"
"2020000000","","2020","09410","","(Municipalities as of 2000) Shiobara-machi","","6,808","3,370","3,438"
"2020000000","","2020","09214","","Sakura-shi","","44,513","23,102","21,411"
"2020000000","","2020","09385","","(Municipalities as of 2000) Ujiie-machi","","33,766","16,960","16,806"
"2020000000","","2020","09387","","(Municipalities as of 2000) Kitsuregawa-machi","","10,747","6,142","4,605"
"2020000000","","2020","09215","","Nasukarasuyama-shi","","24,875","12,379","12,496"
"2020000000","","2020","09401","","(Municipalities as of 2000) Minaminasu-machi","","10,235","5,181","5,054"
"2020000000","","2020","09402","","(Municipalities as of 2000) Karasuyama-machi","","14,640","7,198","7,442"
"2020000000","","2020","09216","","Shimotsuke-shi","","59,507","29,453","30,054"
"2020000000","","2020","09302","","(Municipalities as of 2000) Minamikawachi-machi","","19,563","9,701","9,862"
"2020000000","","2020","09362","","(Municipalities as of 2000) Ishibashi-machi","","21,202","10,528","10,674"
"2020000000","","2020","09363","","(Municipalities as of 2000) Kokubunji-machi","","18,742","9,224","9,518"
"2020000000","","2020","09301","","Kaminokawa-machi","","30,806","15,842","14,964"
"2020000000","","2020","09342","","Mashiko-machi","","21,898","10,871","11,027"
"2020000000","","2020","09343","","Motegi-machi","","11,891","5,872","6,019"
"2020000000","","2020","09344","","Ichikai-machi","","11,262","5,756","5,506"
"2020000000","","2020","09345","","Haga-machi","","14,961","7,541","7,420"
"2020000000","","2020","09361","","Mibu-machi","","39,474","19,442","20,032"
"2020000000","","2020","09364","","Nogi-machi","","24,913","12,401","12,512"
"2020000000","","2020","09384","","Shioya-machi","","10,354","5,135","5,219"
"2020000000","","2020","09386","","Takanezawa-machi","","29,229","15,254","13,975"
"2020000000","","2020","09407","","Nasu-machi","","23,956","11,784","12,172"
"2020000000","","2020","09411","","Nakagawa-machi","","15,215","7,682","7,533"
"2020000000","","2020","09403","","(Municipalities as of 2000) Bato-machi","","9,622","4,848","4,774"
"2020000000","","2020","09404","","(Municipalities as of 2000) Ogawa-machi","","5,593","2,834","2,759"
"2020000000","","2020","10000","","Gumma-ken","","1,939,110","959,411","979,699"
"2020000000","","2020","10201","","Maebashi-shi","","332,149","162,298","169,851"
"2020000000","","2020","1020B","","(Municipalities as of 2000) Maebashi-shi","","275,741","134,321","141,420"
"2020000000","","2020","10303","","(Municipalities as of 2000) Fujimi-mura","","21,707","10,823","10,884"
"2020000000","","2020","10304","","(Municipalities as of 2000) Ogo-machi","","17,483","8,572","8,911"
"2020000000","","2020","10305","","(Municipalities as of 2000) Miyagi-mura","","7,131","3,525","3,606"
"2020000000","","2020","10306","","(Municipalities as of 2000) Kasukawa-mura","","10,087","5,057","5,030"
"2020000000","","2020","10202","","Takasaki-shi","","372,973","182,646","190,327"
"2020000000","","2020","1020C","","(Municipalities as of 2000) Takasaki-shi","","252,032","123,488","128,544"
"2020000000","","2020","10321","","(Municipalities as of 2000) Haruna-machi","","18,423","8,954","9,469"
"2020000000","","2020","10322","","(Municipalities as of 2000) Kurabuchi-mura","","3,050","1,507","1,543"
"2020000000","","2020","10323","","(Municipalities as of 2000) Misato-machi","","20,481","9,934","10,547"
"2020000000","","2020","10324","","(Municipalities as of 2000) Gumma-machi","","43,565","21,340","22,225"
"2020000000","","2020","10361","","(Municipalities as of 2000) Shin-machi","","12,053","5,828","6,225"
"2020000000","","2020","10363","","(Municipalities as of 2000) Yoshii-machi","","23,369","11,595","11,774"
"2020000000","","2020","10203","","Kiryu-shi","","106,445","51,392","55,053"
"2020000000","","2020","1020D","","(Municipalities as of 2000) Kiryu-shi","","88,906","42,741","46,165"
"2020000000","","2020","10307","","(Municipalities as of 2000) Niisato-mura","","15,902","7,830","8,072"
"2020000000","","2020","10308","","(Municipalities as of 2000) Kurohone-mura","","1,637","821","816"
"2020000000","","2020","10204","","Isesaki-shi","","211,850","106,350","105,500"
"2020000000","","2020","1020E","","(Municipalities as of 2000) Isesaki-shi","","132,591","66,287","66,304"
"2020000000","","2020","10461","","(Municipalities as of 2000) Akabori-machi","","23,700","11,968","11,732"
"2020000000","","2020","10462","","(Municipalities as of 2000) Azuma-mura","","26,455","13,326","13,129"
"2020000000","","2020","10463","","(Municipalities as of 2000) Sakai-machi","","29,104","14,769","14,335"
"2020000000","","2020","10205","","Ota-shi","","223,014","114,106","108,908"
"2020000000","","2020","1020F","","(Municipalities as of 2000) Ota-shi","","158,800","81,771","77,029"
"2020000000","","2020","10481","","(Municipalities as of 2000) Ojima-machi","","13,704","6,901","6,803"
"2020000000","","2020","10482","","(Municipalities as of 2000) Nitta-machi","","28,486","14,358","14,128"
"2020000000","","2020","10483","","(Municipalities as of 2000) Yabuzukahon-machi","","22,024","11,076","10,948"
"2020000000","","2020","10206","","Numata-shi","","45,337","21,942","23,395"
"2020000000","","2020","1020G","","(Municipalities as of 2000) Numata-shi","","38,615","18,577","20,038"
"2020000000","","2020","10441","","(Municipalities as of 2000) Shirasawa-mura","","3,388","1,711","1,677"
"2020000000","","2020","10442","","(Municipalities as of 2000) Tone-mura","","3,334","1,654","1,680"
"2020000000","","2020","10207","","Tatebayashi-shi","","75,309","37,769","37,540"
"2020000000","","2020","10208","","Shibukawa-shi","","74,581","36,363","38,218"
"2020000000","","2020","1020H","","(Municipalities as of 2000) Shibukawa-shi","","41,674","20,202","21,472"
"2020000000","","2020","10301","","(Municipalities as of 2000) Kitatachibana-mura","","8,808","4,324","4,484"
"2020000000","","2020","10302","","(Municipalities as of 2000) Akagi-mura","","9,277","4,615","4,662"
"2020000000","","2020","10341","","(Municipalities as of 2000) Komochi-mura","","10,856","5,358","5,498"
"2020000000","","2020","10342","","(Municipalities as of 2000) Onogami-mura","","1,425","675","750"
"2020000000","","2020","10343","","(Municipalities as of 2000) Ikaho-machi","","2,541","1,189","1,352"
"2020000000","","2020","10209","","Fujioka-shi","","63,261","30,766","32,495"
"2020000000","","2020","1020I","","(Municipalities as of 2000) Fujioka-shi","","58,391","28,423","29,968"
"2020000000","","2020","10362","","(Municipalities as of 2000) Onishi-machi","","4,870","2,343","2,527"
"2020000000","","2020","10210","","Tomioka-shi","","47,446","23,403","24,043"
"2020000000","","2020","1021B","","(Municipalities as of 2000) Tomioka-shi","","43,600","21,477","22,123"
"2020000000","","2020","10381","","(Municipalities as of 2000) Myogi-machi","","3,846","1,926","1,920"
"2020000000","","2020","10211","","Annaka-shi","","54,907","26,848","28,059"
"2020000000","","2020","1021C","","(Municipalities as of 2000) Annaka-shi","","42,775","20,937","21,838"
"2020000000","","2020","10401","","(Municipalities as of 2000) Matsuida-machi","","12,132","5,911","6,221"
"2020000000","","2020","10212","","Midori-shi","","49,648","24,562","25,086"
"2020000000","","2020","10309","","(Municipalities as of 2000) Azuma-mura","","1,701","807","894"
"2020000000","","2020","10484","","(Municipalities as of 2000) Kasakake-machi","","30,067","14,991","15,076"
"2020000000","","2020","10501","","(Municipalities as of 2000) Omama-machi","","17,880","8,764","9,116"
"2020000000","","2020","10344","","Shinto-mura","","14,216","7,190","7,026"
"2020000000","","2020","10345","","Yoshioka-machi","","21,792","10,613","11,179"
"2020000000","","2020","10366","","Ueno-mura","","1,128","573","555"
"2020000000","","2020","10367","","Kanna-machi","","1,645","793","852"
"2020000000","","2020","10364","","(Municipalities as of 2000) Mamba-machi","","1,160","550","610"
"2020000000","","2020","10365","","(Municipalities as of 2000) Nakasato-mura","","485","243","242"
"2020000000","","2020","10382","","Shimonita-machi","","6,576","3,224","3,352"
"2020000000","","2020","10383","","Nanmoku-mura","","1,611","762","849"
"2020000000","","2020","10384","","Kanra-machi","","12,491","6,175","6,316"
"2020000000","","2020","10421","","Nakanojo-machi","","15,386","7,498","7,888"
"2020000000","","2020","1042B","","(Municipalities as of 2000) Nakanojo-machi","","14,279","6,931","7,348"
"2020000000","","2020","10427","","(Municipalities as of 2000) Kuni-mura","","1,107","567","540"
"2020000000","","2020","10424","","Naganohara-machi","","5,095","2,529","2,566"
"2020000000","","2020","10425","","Tsumagoi-mura","","8,850","4,522","4,328"
"2020000000","","2020","10426","","Kusatsu-machi","","6,049","3,034","3,015"
"2020000000","","2020","10428","","Takayama-mura","","3,511","1,745","1,766"
"2020000000","","2020","10429","","Higashiagatsuma-machi","","12,728","6,268","6,460"
"2020000000","","2020","10422","","(Municipalities as of 2000) Azuma-mura","","1,712","860","852"
"2020000000","","2020","10423","","(Municipalities as of 2000) Agatsuma-machi","","11,016","5,408","5,608"
"2020000000","","2020","10443","","Katashina-mura","","3,993","1,949","2,044"
"2020000000","","2020","10444","","Kawaba-mura","","3,480","1,593","1,887"
"2020000000","","2020","10448","","Showa-mura","","6,953","3,455","3,498"
"2020000000","","2020","10449","","Minakami-machi","","17,195","8,349","8,846"
"2020000000","","2020","10445","","(Municipalities as of 2000) Tsukiyono-machi","","8,647","4,194","4,453"
"2020000000","","2020","10446","","(Municipalities as of 2000) Minakami-machi","","3,484","1,702","1,782"
"2020000000","","2020","10447","","(Municipalities as of 2000) Niiharu-mura","","5,064","2,453","2,611"
"2020000000","","2020","10464","","Tamamura-machi","","36,054","17,594","18,460"
"2020000000","","2020","10521","","Itakura-machi","","14,083","7,031","7,052"
"2020000000","","2020","10522","","Meiwa-machi","","10,882","5,465","5,417"
"2020000000","","2020","10523","","Chiyoda-machi","","10,861","5,470","5,391"
"2020000000","","2020","10524","","Oizumi-machi","","42,089","22,282","19,807"
"2020000000","","2020","10525","","Ora-machi","","25,522","12,852","12,670"
"2020000000","","2020","11000","","Saitama-ken","","7,344,765","3,652,169","3,692,596"
"2020000000","","2020","11100","","Saitama-shi","","1,324,025","652,920","671,105"
"2020000000","","2020","11204","","(Municipalities as of 2000) Urawa-shi","","584,286","288,473","295,813"
"2020000000","","2020","11205","","(Municipalities as of 2000) Omiya-shi","","524,655","257,852","266,803"
"2020000000","","2020","11213","","(Municipalities as of 2000) Iwatsuki-shi","","111,815","55,579","56,236"
"2020000000","","2020","11220","","(Municipalities as of 2000) Yono-shi","","103,269","51,016","52,253"
"2020000000","","2020","11101","","Saitama-shi Nishi-ku","","93,499","45,843","47,656"
"2020000000","","2020","11102","","Saitama-shi Kita-ku","","149,242","73,370","75,872"
"2020000000","","2020","11103","","Saitama-shi Omiya-ku","","117,784","58,338","59,446"
"2020000000","","2020","11104","","Saitama-shi Minuma-ku","","165,049","80,749","84,300"
"2020000000","","2020","11105","","Saitama-shi Chuo-ku","","103,269","51,016","52,253"
"2020000000","","2020","11106","","Saitama-shi Sakura-ku","","98,661","49,764","48,897"
"2020000000","","2020","11107","","Saitama-shi Urawa-ku","","164,822","79,554","85,268"
"2020000000","","2020","11108","","Saitama-shi Minami-ku","","191,563","95,491","96,072"
"2020000000","","2020","11109","","Saitama-shi Midori-ku","","128,321","63,216","65,105"
"2020000000","","2020","11110","","Saitama-shi Iwatsuki-ku","","111,815","55,579","56,236"
"2020000000","","2020","11201","","Kawagoe-shi","","354,571","177,480","177,091"
"2020000000","","2020","11202","","Kumagaya-shi","","194,415","97,087","97,328"
"2020000000","","2020","1120B","","(Municipalities as of 2000) Kumagaya-shi","","149,959","74,614","75,345"
"2020000000","","2020","11401","","(Municipalities as of 2000) Osato-mura","","8,295","4,204","4,091"
"2020000000","","2020","11402","","(Municipalities as of 2000) Konan-machi","","12,644","6,552","6,092"
"2020000000","","2020","11403","","(Municipalities as of 2000) Menuma-machi","","23,517","11,717","11,800"
"2020000000","","2020","11203","","Kawaguchi-shi","","594,274","299,238","295,036"
"2020000000","","2020","1120C","","(Municipalities as of 2000) Kawaguchi-shi","","530,263","266,990","263,273"
"2020000000","","2020","11226","","(Municipalities as of 2000) Hatogaya-shi","","64,011","32,248","31,763"
"2020000000","","2020","11206","","Gyoda-shi","","78,617","38,736","39,881"
"2020000000","","2020","1120D","","(Municipalities as of 2000) Gyoda-shi","","75,223","37,062","38,161"
"2020000000","","2020","11422","","(Municipalities as of 2000) Minamikawara-mura","","3,394","1,674","1,720"
"2020000000","","2020","11207","","Chichibu-shi","","59,674","29,068","30,606"
"2020000000","","2020","1120E","","(Municipalities as of 2000) Chichibu-shi","","50,155","24,465","25,690"
"2020000000","","2020","11364","","(Municipalities as of 2000) Yoshida-machi","","4,299","2,128","2,171"
"2020000000","","2020","11367","","(Municipalities as of 2000) Otaki-mura","","594","275","319"
"2020000000","","2020","11368","","(Municipalities as of 2000) Arakawa-mura","","4,626","2,200","2,426"
"2020000000","","2020","11208","","Tokorozawa-shi","","342,464","168,197","174,267"
"2020000000","","2020","11209","","Hanno-shi","","80,361","40,294","40,067"
"2020000000","","2020","1120F","","(Municipalities as of 2000) Hanno-shi","","78,740","39,510","39,230"
"2020000000","","2020","11330","","(Municipalities as of 2000) Naguri-mura","","1,621","784","837"
"2020000000","","2020","11210","","Kazo-shi","","111,623","55,982","55,641"
"2020000000","","2020","1121B","","(Municipalities as of 2000) Kazo-shi","","67,417","33,706","33,711"
"2020000000","","2020","11421","","(Municipalities as of 2000) Kisai-machi","","19,089","9,677","9,412"
"2020000000","","2020","11424","","(Municipalities as of 2000) Kitakawabe-machi","","11,000","5,530","5,470"
"2020000000","","2020","11425","","(Municipalities as of 2000) Otone-machi","","14,117","7,069","7,048"
"2020000000","","2020","11211","","Honjo-shi","","78,569","39,216","39,353"
"2020000000","","2020","1121C","","(Municipalities as of 2000) Honjo-shi","","57,990","28,952","29,038"
"2020000000","","2020","11382","","(Municipalities as of 2000) Kodama-machi","","20,579","10,264","10,315"
"2020000000","","2020","11212","","Higashimatsuyama-shi","","91,791","46,187","45,604"
"2020000000","","2020","11214","","Kasukabe-shi","","229,792","113,467","116,325"
"2020000000","","2020","1121D","","(Municipalities as of 2000) Kasukabe-shi","","193,850","95,669","98,181"
"2020000000","","2020","11468","","(Municipalities as of 2000) Showa-machi","","35,942","17,798","18,144"
"2020000000","","2020","11215","","Sayama-shi","","148,699","74,178","74,521"
"2020000000","","2020","11216","","Hanyu-shi","","52,862","26,142","26,720"
"2020000000","","2020","11217","","Konosu-shi","","116,828","57,673","59,155"
"2020000000","","2020","1121E","","(Municipalities as of 2000) Konosu-shi","","79,888","39,424","40,464"
"2020000000","","2020","11304","","(Municipalities as of 2000) Fukiage-machi","","28,342","13,992","14,350"
"2020000000","","2020","11423","","(Municipalities as of 2000) Kawasato-mura","","8,598","4,257","4,341"
"2020000000","","2020","11218","","Fukaya-shi","","141,268","70,200","71,068"
"2020000000","","2020","1121F","","(Municipalities as of 2000) Fukaya-shi","","98,496","48,872","49,624"
"2020000000","","2020","11405","","(Municipalities as of 2000) Okabe-machi","","18,035","9,011","9,024"
"2020000000","","2020","11406","","(Municipalities as of 2000) Kawamoto-machi","","11,624","5,755","5,869"
"2020000000","","2020","11407","","(Municipalities as of 2000) Hanazono-machi","","13,113","6,562","6,551"
"2020000000","","2020","11219","","Ageo-shi","","226,940","112,288","114,652"
"2020000000","","2020","11221","","Soka-shi","","248,304","125,213","123,091"
"2020000000","","2020","11222","","Koshigaya-shi","","341,621","168,747","172,874"
"2020000000","","2020","11223","","Warabi-shi","","74,283","37,470","36,813"
"2020000000","","2020","11224","","Toda-shi","","140,899","71,388","69,511"
"2020000000","","2020","11225","","Iruma-shi","","145,651","71,803","73,848"
"2020000000","","2020","11227","","Asaka-shi","","141,083","70,696","70,387"
"2020000000","","2020","11228","","Shiki-shi","","75,346","36,945","38,401"
"2020000000","","2020","11229","","Wako-shi","","83,989","43,138","40,851"
"2020000000","","2020","11230","","Niiza-shi","","166,017","81,781","84,236"
"2020000000","","2020","11231","","Okegawa-shi","","74,748","36,950","37,798"
"2020000000","","2020","11232","","Kuki-shi","","150,582","74,607","75,975"
"2020000000","","2020","1123B","","(Municipalities as of 2000) Kuki-shi","","66,809","33,067","33,742"
"2020000000","","2020","11446","","(Municipalities as of 2000) Shobu-machi","","18,801","9,467","9,334"
"2020000000","","2020","11461","","(Municipalities as of 2000) Kurihashi-machi","","27,019","13,312","13,707"
"2020000000","","2020","11462","","(Municipalities as of 2000) Washimiya-machi","","37,953","18,761","19,192"
"2020000000","","2020","11233","","Kitamoto-shi","","65,201","32,214","32,987"
"2020000000","","2020","11234","","Yashio-shi","","93,363","47,995","45,368"
"2020000000","","2020","11235","","Fujimi-shi","","111,859","54,871","56,988"
"2020000000","","2020","11237","","Misato-shi","","142,145","71,486","70,659"
"2020000000","","2020","11238","","Hasuda-shi","","61,499","30,468","31,031"
"2020000000","","2020","11239","","Sakado-shi","","100,275","50,041","50,234"
"2020000000","","2020","11240","","Satte-shi","","50,066","24,979","25,087"
"2020000000","","2020","11241","","Tsurugashima-shi","","70,117","34,585","35,532"
"2020000000","","2020","11242","","Hidaka-shi","","54,571","26,953","27,618"
"2020000000","","2020","11243","","Yoshikawa-shi","","71,979","35,800","36,179"
"2020000000","","2020","11245","","Fujimino-shi","","113,597","56,085","57,512"
"2020000000","","2020","11236","","(Municipalities as of 2000) Kamifukuoka-shi","","61,828","30,521","31,307"
"2020000000","","2020","11322","","(Municipalities as of 2000) Oi-machi","","51,769","25,564","26,205"
"2020000000","","2020","11246","","Shiraoka-shi","","52,214","25,764","26,450"
"2020000000","","2020","11445","","(Municipalities as of 2000) Shiraoka-machi","","52,214","25,764","26,450"
"2020000000","","2020","11301","","Ina-machi","","44,841","22,539","22,302"
"2020000000","","2020","11324","","Miyoshi-machi","","38,434","18,949","19,485"
"2020000000","","2020","11326","","Moroyama-machi","","35,366","17,534","17,832"
"2020000000","","2020","11327","","Ogose-machi","","11,029","5,494","5,535"
"2020000000","","2020","11341","","Namegawa-machi","","19,732","10,070","9,662"
"2020000000","","2020","11342","","Ranzan-machi","","17,889","8,941","8,948"
"2020000000","","2020","11343","","Ogawa-machi","","28,524","14,190","14,334"
"2020000000","","2020","11346","","Kawajima-machi","","19,378","9,823","9,555"
"2020000000","","2020","11347","","Yoshimi-machi","","18,192","9,127","9,065"
"2020000000","","2020","11348","","Hatoyama-machi","","13,560","6,556","7,004"
"2020000000","","2020","11349","","Tokigawa-machi","","10,540","5,333","5,207"
"2020000000","","2020","11344","","(Municipalities as of 2000) Tokigawa-mura","","5,950","2,984","2,966"
"2020000000","","2020","11345","","(Municipalities as of 2000) Tamagawa-mura","","4,590","2,349","2,241"
"2020000000","","2020","11361","","Yokoze-machi","","7,979","3,966","4,013"
"2020000000","","2020","11362","","Minano-machi","","9,302","4,583","4,719"
"2020000000","","2020","11363","","Nagatoro-machi","","6,807","3,321","3,486"
"2020000000","","2020","11365","","Ogano-machi","","10,928","5,382","5,546"
"2020000000","","2020","1136B","","(Municipalities as of 2000) Ogano-machi","","8,880","4,344","4,536"
"2020000000","","2020","11366","","(Municipalities as of 2000) Ryokami-mura","","2,048","1,038","1,010"
"2020000000","","2020","11369","","Higashichichibu-mura","","2,709","1,352","1,357"
"2020000000","","2020","11381","","Misato-machi","","11,039","5,540","5,499"
"2020000000","","2020","11383","","Kamikawa-machi","","13,359","6,755","6,604"
"2020000000","","2020","1138B","","(Municipalities as of 2000) Kamikawa-machi","","12,470","6,328","6,142"
"2020000000","","2020","11384","","(Municipalities as of 2000) Kamiizumi-mura","","889","427","462"
"2020000000","","2020","11385","","Kamisato-machi","","30,343","15,012","15,331"
"2020000000","","2020","11408","","Yorii-machi","","32,374","16,053","16,321"
"2020000000","","2020","11442","","Miyashiro-machi","","34,147","17,182","16,965"
"2020000000","","2020","11464","","Sugito-machi","","43,845","21,927","21,918"
"2020000000","","2020","11465","","Matsubushi-machi","","28,266","14,208","14,058"
"2020000000","","2020","12000","","Chiba-ken","","6,284,480","3,117,987","3,166,493"
"2020000000","","2020","12100","","Chiba-shi","","974,951","481,246","493,705"
"2020000000","","2020","12101","","Chiba-shi Chuo-ku","","211,736","105,766","105,970"
"2020000000","","2020","12102","","Chiba-shi Hanamigawa-ku","","177,328","87,280","90,048"
"2020000000","","2020","12103","","Chiba-shi Inage-ku","","160,582","80,345","80,237"
"2020000000","","2020","12104","","Chiba-shi Wakaba-ku","","146,940","73,000","73,940"
"2020000000","","2020","12105","","Chiba-shi Midori-ku","","129,421","63,121","66,300"
